ID,SURFY,Town,Cunha,Diaz-Ramos,LogAPC
Q9H8M5,1,0,1,0,2.079181246
Q9H8P0,0,1,1,0,
Q9H936,0,1,0,0,
Q9H9B4,0,1,0,0,-1.250727914
Q9HBG7,1,1,1,1,0.998878741
Q9HC07,0,0,1,0,
Q9HCN3,1,1,0,0,2.079181246
Q9HCU4,1,0,1,0,2.079181246
Q9HCU5,0,1,0,0,
Q9HD20,1,0,1,0,-1.800798498
Q9HD45,1,1,1,1,-0.62479623
Q9HDC9,0,1,1,0,
Q9NP58,0,1,0,0,2.079181246
Q9NPA0,0,0,1,0,
Q9NPD7,1,0,0,0,2.079181246
Q9NPH3,1,1,1,1,0.869006488
Q9NPL8,0,1,0,0,
Q9NQ90,1,1,1,0,2.079181246
Q9NQC3,0,1,0,0,-1.261845698
Q9NQX7,1,1,1,0,2.079181246
Q9NRP0,0,0,1,0,2.079181246
Q9NS69,0,1,0,0,-0.178560953
Q9NTJ5,0,1,1,0,-1.209849234
Q9NTN9,1,1,1,0,2.079181246
Q9NUE0,0,0,1,0,2.079181246
Q9NUM4,1,1,1,0,2.079181246
Q9NUQ2,0,1,1,0,-0.724766258
Q9NV96,1,1,1,0,0.902491775
Q9NVI7,0,1,0,0,
Q9NVV0,0,0,1,0,
Q9NWW5,0,1,1,0,
Q9NX14,0,1,0,0,
Q9NX47,0,1,0,0,
Q9NXE4,0,1,1,0,
Q9NXW2,0,1,1,0,
Q9NY35,1,1,1,0,1.006993832
Q9NYP7,0,1,1,0,-1.233035438
Q9NZ01,0,1,1,0,-1.259657787
Q9NZ08,0,1,0,0,-0.87142113
Q9NZ45,0,1,0,0,
Q9NZG7,0,1,1,1,2.079181246
Q9NZQ7,1,1,1,1,2.079181246
Q9P003,0,1,1,0,
Q9P035,0,1,1,1,-0.900841302
Q9P0I2,0,1,1,0,
Q9P0K1,1,1,1,0,2.079181246
Q9P0L0,0,1,1,0,-1.545660593
Q9P1W8,1,1,1,0,1.067215458
Q9P2E9,0,1,0,0,-1.08025422
Q9UBG0,1,1,1,1,2.079181246
Q9UBH6,0,1,1,1,2.079181246
Q9UBM1,0,1,0,0,
Q9UBM7,0,1,0,0,-1.251532186
Q9UBV2,0,1,1,0,
Q9UBX3,0,1,0,0,-0.98461606
Q9UGP8,0,1,0,0,
Q9UH99,0,1,0,0,
Q9UHN6,0,1,1,0,2.079181246
Q9UHQ9,0,1,0,0,
Q9UHX3,1,1,1,1,2.079181246
Q9UIB8,1,1,1,1,0.795880017
Q9UIQ6,1,1,1,0,1.087071592
Q9UIW2,1,1,1,0,1.399638809
Q9UKR5,0,1,0,0,
Q9UL25,0,1,0,0,
Q9ULF5,1,1,0,0,0.418025793
Q9ULH0,0,1,1,0,2.079181246
Q9ULK0,1,1,1,0,2.079181246
Q9ULK6,1,1,1,0,2.079181246
Q9UM00,0,1,1,0,-0.852351401
Q9UNK0,0,1,1,0,
Q9UP38,1,1,1,0,2.079181246
Q9UP95,1,0,1,0,
Q9Y228,0,1,1,0,
Q9Y241,0,1,1,0,-0.289612951
Q9Y277,0,1,0,0,-0.939841882
Q9Y287,1,1,1,0,2.079181246
Q9Y289,1,1,1,1,0.81503115
Q9Y2U8,0,1,0,0,
Q9Y320,0,1,0,0,
Q9Y3B3,1,1,1,1,
Q9Y3D6,0,1,0,0,
Q9Y3E0,0,0,1,0,
Q9Y3P8,1,1,1,0,1.401620184
Q9Y3Q3,0,0,1,1,2.079181246
Q9Y487,1,1,1,0,
Q9Y490,0,1,0,0,0.30569564
Q9Y4D7,1,1,1,1,2.079181246
Q9Y4D8,0,1,0,0,
Q9Y4W6,0,1,0,0,
Q9Y5M8,0,1,0,0,
Q9Y5S1,1,1,1,1,2.079181246
Q9Y624,1,1,1,1,1.342419399
Q9Y639,1,1,1,0,0.961731675
Q9Y653,1,1,1,1,2.079181246
Q9Y666,1,0,1,0,1.362231956
Q9Y672,0,1,0,0,
Q9Y673,0,1,0,0,-1.536788435
Q9Y679,0,1,0,0,
Q9Y696,0,1,0,0,-0.204803987
Q9Y6A9,0,1,0,0,-0.691677958
Q9Y6C9,0,1,0,0,
Q9Y6M7,1,0,1,1,2.067087634
Q9Y6N1,0,1,0,0,
Q9Y6R1,1,1,1,0,2.079181246
